SMILES,Atom_importance,Bond_importance
CC(C)(C)c1c(cn[nH]1)C[NH2+]C[C@@H]1COC2(O1)CCOCC2,"[-0.00398346 -0.00723071 -0.00381872 -0.00301479  0.00506788  0.01103221
  0.01198617 -0.00460626  0.00417384 -0.00629478 -0.0035121  -0.00499782
 -0.00701251 -0.00566236 -0.00281699 -0.00540147 -0.0031828  -0.00590219
 -0.00459651 -0.00338943 -0.00396876 -0.00398623]",
C[N@H+]1CCC[C@H](C1)N(C)CC(=O)[O-],"[-0.00430709 -0.00343774 -0.006381   -0.00747016 -0.00802312 -0.01159453
 -0.00767558 -0.00224431 -0.00468422 -0.0059448   0.00273368 -0.00150374
 -0.00077188]",
C[NH+](C)[C@@H]1CC[C@@H](C1)NC(=O)CC1(CCCCC1)O,"[-0.00272884 -0.00202462 -0.00283215 -0.00490844 -0.00454329 -0.00407706
 -0.00411156 -0.00498957  0.00206709  0.00171593 -0.00066216 -0.00317837
 -0.0029344  -0.00453019 -0.00426435 -0.00405064 -0.00318446 -0.00297691
 -0.00104778]",
CC/[NH+]=C(/NCCc1nnc2n1CCCCC2)\NC[C@H]1CCCO1,"[-0.00167967 -0.00368631  0.00374511  0.00285683  0.00527795 -0.00499067
 -0.00549943  0.00923527 -0.0031599  -0.00240998  0.00860203  0.00283814
 -0.00458869 -0.00388416 -0.00411977 -0.00421008 -0.00499842  0.0036428
 -0.00441821 -0.00274376 -0.00464913 -0.003592   -0.00359854 -0.00262419]",
c1cc(nc(c1)OCC(F)F)C(=O)Nc1ccncc1O,"[ 1.14566181e-02  1.10473065e-02  5.55112120e-03 -2.32436601e-03
  5.28314523e-03  1.36289373e-02 -1.21868448e-03 -4.99314023e-03
 -2.65377737e-03 -1.78739196e-03 -3.46853840e-03  4.45393985e-03
 -7.61276387e-05  4.06301301e-03  7.49384053e-03  1.71956122e-02
  1.20859928e-02 -1.93649286e-03  7.74941454e-03  6.84160646e-03
  2.34896969e-03]",
c1cc(cc(c1)[N+](=O)[O-])CCC(=O)N[C@H]1CCOc2c1cccc2Cl,"[ 0.00979946  0.00771651  0.00414125  0.00883663  0.00448308  0.01080941
  0.00060838  0.00012782  0.00056619 -0.00454244 -0.00390202  0.00332645
 -0.00031443  0.00280722 -0.00340894 -0.00612362 -0.00425096 -0.00031083
  0.00673357  0.00728077  0.01333926  0.01151859  0.00899995  0.0065976
 -0.00078677]",
CC(C)(C)c1nc(cs1)C[NH2+]Cc1cccc(c1)F,"[-0.0042494  -0.00656006 -0.0033117  -0.0034256   0.00694117 -0.00507285
  0.00770782  0.01866391 -0.00225835 -0.00505742 -0.00477149 -0.00540653
  0.00689139  0.01934966  0.01351091  0.01442442  0.00706937  0.00976344
 -0.0011743 ]",
Cc1csc(n1)CCNC(=O)N[C@@H](C)C(=O)NC,"[-3.6560544e-03  1.0309513e-02  2.2117808e-02 -2.0884918e-03
  7.0232204e-03 -4.5623789e-03 -5.7717687e-03 -7.8007719e-03
  5.7499027e-03  4.9868259e-03 -1.1625163e-03  4.6573994e-03
 -5.9869653e-03 -6.2379818e-03  4.7307024e-03 -4.1269992e-05
  5.0029834e-03 -3.2007860e-03]",
CCOC(=O)N1CCN(CC1)[C@H](C)C(=O)Nc1ccc(cn1)Cl,"[-2.74168910e-03 -4.18308238e-03 -2.33424653e-05  3.49512952e-03
 -6.52344897e-04  1.50337743e-04 -5.45623386e-03 -5.81990741e-03
 -1.93596038e-03 -4.49438114e-03 -4.07668762e-03 -6.38743211e-03
 -3.79143842e-03  4.15383512e-03 -3.07705603e-04  4.19078674e-03
  7.60266744e-03  1.74005460e-02  1.05375638e-02  6.73096813e-03
  1.02106035e-02 -1.26435689e-03 -6.92119822e-04]",
Cc1ccsc1[C@@H]1CCN(C[C@H]1O)C(=O)Cn1c(nnn1)N,"[-0.00224609  0.00599802  0.01712594  0.01547602 -0.00304243  0.0081381
 -0.00659003 -0.00542911 -0.00710934 -0.00018186 -0.00563719 -0.00363221
 -0.00078901  0.00406087  0.00069367 -0.00443548  0.00237901  0.00972539
 -0.00320049 -0.00196768 -0.00171564  0.00024592]",
CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,"[-0.0022762   0.00342046  0.00233425 -0.00358771  0.00546659  0.00429304
 -0.00162261 -0.00285892 -0.00227405 -0.00323424 -0.0001073  -0.00161679
 -0.00173298 -0.0080003   0.00857234 -0.00319172 -0.00296929  0.00351585
  0.00531251  0.01677393  0.01414444  0.00474059  0.00971733  0.01046608
 -0.00120872]",
Cc1nc(on1)[C@@H](C)OC(=O)c1cc(cn1C)C(=O)N,"[-0.00294261  0.00734247 -0.00255539  0.00752432 -0.00053487 -0.00395084
 -0.00431669 -0.00409594 -0.00075592  0.0040659  -0.0001728   0.00845656
  0.01512435  0.00818512  0.01546336 -0.0010016  -0.00328619  0.00257877
 -0.0004437   0.00032208]",
c1ccc(cc1)C[NH2+]Cc1ccccc1OCC(=O)[O-],"[ 0.01177612  0.01196816  0.01078797  0.00483009  0.00660628  0.01049489
 -0.00356841 -0.00260024 -0.00428259  0.00426876  0.0152647   0.01386433
  0.01014052  0.01372365  0.00621835  0.00065717 -0.00304112  0.00390238
 -0.00026718 -0.00021315]",
C[C@H]1C[C@H](CCO1)C(=O)OC[C@@H]1CCCN(C1)C(=O)c1ccccc1,"[-0.00221177 -0.00413725 -0.00415472 -0.0058136  -0.0059247  -0.00424565
 -0.00287428  0.00238997 -0.00051938 -0.00049663 -0.00461309 -0.0054095
 -0.00604026 -0.00413236 -0.00545656 -0.0003184  -0.00490899  0.00336983
  0.00022563  0.0083169   0.01394972  0.0086975   0.01180829  0.00957145
  0.00715381]",
C=CCN(CCO)C(=O)N[C@H]1CC[C@@H](CC1)Oc1ccc(cn1)C#N,"[ 0.00184218  0.00646504 -0.00410305 -0.00010349 -0.00530743 -0.00388324
 -0.00018322  0.00356579 -0.00063059  0.00500016 -0.00356094 -0.00614559
 -0.00485988 -0.00336538 -0.00485238 -0.00345593 -0.00091447  0.00574365
  0.01615991  0.01903629  0.00899765  0.01223201 -0.00195996 -0.00053483
 -0.00040543]",
CC1([C@H]([C@H]2[C@@H]1OCC2)NC(=O)N1CCN(CC1)CC#C)C,"[-2.0406460e-03 -4.0080096e-03 -1.7830121e-03 -3.0550004e-03
 -3.8663519e-03 -2.8482152e-03 -3.4184356e-03 -4.1268719e-03
  3.4246617e-03  2.9561848e-03 -7.0341723e-04 -3.7174561e-04
 -3.6302998e-03 -3.5346143e-03 -1.8676170e-03 -3.0086339e-03
 -3.5559866e-03 -3.4111363e-03  8.1517035e-05  7.0255104e-04
 -1.6499751e-03]",
C[C@@]12CC[C@H]3[C@@H]([C@@H]1CC[C@]2(C#C)O)CCC1=CC(=O)CC[C@H]31,"[-2.3140793e-03 -3.7370892e-03 -2.5512897e-03 -3.0389831e-03
 -2.6753864e-03 -2.0395224e-03 -2.6440232e-03 -3.3590274e-03
 -3.0828833e-03 -6.7025451e-03 -1.8517463e-04  2.3412146e-03
  7.6865620e-04 -3.3776830e-03 -3.6093423e-03  3.7553196e-03
  1.0237199e-02  4.0579382e-03 -4.2286461e-05 -3.3334426e-03
 -3.0816938e-03 -9.7357499e-04]",
CNCc1ccnnc1,"[-0.00933545 -0.00141575 -0.015154    0.01127103  0.03759196  0.03930867
 -0.00959768 -0.00531437  0.01374593]",
CC1=C[C@H]2C3=C(CCN(C3)C(=O)C)N=C2C=C1,"[-0.00373611  0.00500545  0.011472   -0.00301968  0.00706875  0.0078362
 -0.00650911 -0.00797873 -0.0007297  -0.00603171  0.0052865   0.00083614
 -0.00476616 -0.00342173  0.00759962  0.01162081  0.01225162]",
COc1c(cc(cn1)C(F)(F)F)C=C,"[-0.00563063 -0.00046168  0.01201258  0.01431115  0.02843361  0.00913027
  0.02320506 -0.0042723  -0.00945827 -0.00359757 -0.0034418  -0.00479139
  0.01163685  0.00246268]",
c1cc(c(cc1C(F)(F)F)C[N@H+](CCO)CCOCC(F)(F)F)Cl,"[ 0.01518071  0.01275364  0.0039078   0.00338936  0.01156299  0.00765153
 -0.00489349 -0.0017287  -0.00161689 -0.00206145 -0.00448374 -0.00375325
 -0.00538517 -0.0039197  -0.00098457 -0.00376007 -0.00378086 -0.00235524
 -0.00415568 -0.00498379 -0.00190153 -0.00188129 -0.00171186 -0.00119041]",
CCN(CC)C(=O)CCC(=O)Nc1ccc(cc1F)C(=O)OC,"[-0.00330606 -0.00548529 -0.00060211 -0.00448894 -0.00340796  0.00303985
 -0.00040809 -0.0055703  -0.00524064  0.00259049 -0.00074847  0.00402143
  0.0082374   0.01747575  0.01656964  0.00970111  0.01018064  0.00636074
 -0.00263327  0.0036583  -0.0005071  -0.0003278  -0.00241363]",
C1COC[C@H]1[C@@H](C(F)(F)F)N,"[-0.0056475  -0.00580375 -0.00501301 -0.00573888 -0.00518164 -0.00304303
 -0.00698713 -0.00411408 -0.00272072 -0.00373701 -0.00266072]",
CO[C@@H]1CCCC[C@@H]1[NH2+]CC(=O)N,"[-0.0042997  -0.00463734 -0.00564733 -0.00706992 -0.00707934 -0.00742644
 -0.00800607 -0.01113186 -0.00422805 -0.0077192   0.00280069 -0.0001815
 -0.00078758]",
c1cc(oc1)C(=O)Nc1ccc2c(c1)N(CC2)C(=O)[C@@H]1CCCO1,"[ 7.4416944e-03  7.2282762e-03  6.9082417e-03  3.2907014e-04
  1.1911584e-02  4.9155536e-03 -3.0311910e-04  3.3036827e-03
  7.2132791e-03  1.3720867e-02  1.3568054e-02  6.2898183e-03
  7.7692014e-03  1.4252035e-02  5.1942864e-04 -4.7727944e-03
 -3.7549611e-03  2.7424956e-03  3.7619957e-05 -4.6888315e-03
 -5.8298479e-03 -3.8941319e-03 -3.4712474e-03 -1.4190386e-03]",
C[C@H](CN1CCOCC1)NC(=O)C[C@H](c1cccs1)NC(=O)C,"[-0.00356539 -0.0065655  -0.00477451 -0.00282833 -0.00523115 -0.00567268
 -0.00321281 -0.00515401 -0.00512952  0.00351173  0.00446675 -0.00094373
 -0.00597311 -0.00571655  0.00683479  0.01694825  0.01786264  0.01766534
 -0.00231978  0.00386748  0.00359563 -0.00043388 -0.0029645 ]",
Cc1cnn(c1)[C@@H]1CCCN(C1)C(=O)C[C@H]1c2c(ccs2)CCO1,"[-0.00213223  0.00736209  0.01097546 -0.00217855  0.0009289   0.01663485
 -0.00563923 -0.00613247 -0.00418654 -0.00380368 -0.00023094 -0.00337699
  0.00392383  0.00047725 -0.00474211 -0.00265938  0.00847003  0.00822805
  0.0124525   0.01485899 -0.00093568 -0.00402521 -0.00334894 -0.00014627]",
c1cc(ncc1S(=O)(=O)N1CCOCC1)NN,"[ 0.02160479  0.01809032  0.0080622  -0.00301622  0.0127744   0.00740518
 -0.00754472  0.00105993  0.0005085  -0.00244914 -0.00789608 -0.00517181
 -0.00194262 -0.00416461 -0.00444356  0.003894   -0.00185051]",
C[C@@H]1CC[C@@H]([C@@H](C1)OC(=O)CSc1nnc(s1)N)C(C)C,"[-0.0033114  -0.00539975 -0.00415601 -0.00411941 -0.00131123 -0.0022685
 -0.00587938 -0.0011826   0.00466632 -0.00079443 -0.0049575  -0.00484927
  0.01134949 -0.00311888 -0.00404349  0.00803408 -0.00137959  0.00025181
 -0.00258661 -0.0022511  -0.00193535]",
COC[C@H](C[N@@H+](CC=C)Cc1[nH]c(=O)c2c3c(sc2n1)CCC3)O,"[-0.00244309 -0.00211281 -0.00425417 -0.00396359 -0.00406444 -0.00202975
 -0.00477546  0.007682    0.00313991 -0.00512012  0.00833573  0.005866
  0.01103235 -0.00023794  0.00982219  0.0073139   0.00924352 -0.00176629
  0.00626811 -0.00273713 -0.0048945  -0.00412527 -0.0040109  -0.00056621]",
C[C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O[C@H](C)C(=O)[O-])O,"[-0.00312244 -0.00631612 -0.00757278 -0.00328638 -0.00396792  0.01186575
 -0.00010746 -0.00105071  0.0003291  -0.00294478 -0.00619194 -0.00367681
  0.00388051  0.00019038 -0.00028116 -0.00026077]",
CCCOC(=O)C[C@H]1C(=O)NCCN1CC(=O)N(C)C1CCCCC1,"[-1.9077085e-03 -3.0641027e-03 -3.9777397e-03 -6.2948494e-04
  3.0876317e-03 -7.1545865e-04 -4.7510904e-03 -3.0432055e-03
  4.2798272e-03 -7.8229461e-04  3.7638193e-03 -4.9743559e-03
 -4.0212744e-03 -1.7476213e-03 -4.3063215e-03  3.3855916e-03
 -4.1958663e-04  7.1110117e-05 -3.0720981e-03 -2.1338339e-03
 -4.1962205e-03 -3.3642186e-03 -3.8275979e-03 -2.5389183e-03
 -2.2089609e-03]",
CCc1n[nH]c(=S)n1NCc1cc(c(c(c1)Br)OCC(=O)N)OCC,"[-0.00328268 -0.0046115   0.00477468 -0.00308698  0.00445843  0.00564637
  0.00014573  0.00068788  0.00323651 -0.00498597  0.00736876  0.01231851
  0.00689638  0.00558399  0.0046913   0.01082101 -0.00227226 -0.00058259
 -0.00477507  0.00304288 -0.00082671 -0.00076134 -0.00068946 -0.00440561
 -0.00187791]",
C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,"[-4.1579492e-03 -4.2866585e-03  2.6177560e-04 -3.1423194e-03
 -3.7131805e-03 -3.3067379e-03  3.7303700e-03 -1.0178386e-03
  5.1298639e-04  3.5565894e-03 -3.4401528e-06 -3.4917681e-03
 -4.4409041e-03  3.4256512e-03 -4.5534660e-04 -2.6222380e-04
 -3.3388236e-03 -2.9819342e-03 -4.2090439e-03 -3.2454114e-03
 -1.9064111e-03 -2.7064187e-03 -2.5404957e-03]",
CC[NH+](CC)CCCNC(=O)N1CCN(CC1)Cc1cccs1,"[-0.00197582 -0.00329539 -0.00177656 -0.00325525 -0.00344488 -0.00356422
 -0.00451952 -0.00439195  0.00372578  0.00439104 -0.00013565 -0.00095629
 -0.00435249 -0.00570529 -0.0018142  -0.00435606 -0.00369667 -0.00527975
  0.00618154  0.01082349  0.0134669   0.00702552 -0.00101188]",
CCOC(=O)[C@@H](Cc1ccccc1)SC(=O)C,"[-4.09020856e-03 -6.30271109e-03 -1.04501413e-03  4.54215147e-03
 -7.24226265e-05 -4.77547059e-03 -7.96449557e-03  1.08047472e-02
  2.09166277e-02  2.42140517e-02  2.39154026e-02  1.47239305e-02
  1.37696657e-02 -4.71370062e-03  4.49733576e-03 -5.71267563e-04
 -4.46514273e-03]",
COc1ccc(cc1F)C(=O)OCc1nc2ccccc2o1,"[-0.00056782  0.00099248  0.00472451  0.0089225   0.0106374   0.0062419
  0.00897225  0.00415812 -0.00139854  0.00253911  0.00089936  0.00113596
 -0.00130306  0.00448707 -0.0006758   0.0054783   0.00747743  0.00865908
  0.00692244  0.00742992  0.00396543  0.00149754]",
CC(C)[C@]1(CCC[C@H](C1)OCCC#C)C,"[-0.00338596 -0.00520926 -0.00354181 -0.00760016 -0.00529272 -0.00515953
 -0.00473033 -0.00724143 -0.00466519 -0.00374493 -0.00545448 -0.00450266
 -0.00122978 -0.0015413  -0.00369875]",
Cc1ccc(o1)Cn1c(ccn1)NC(=O)c1c(cc(cc1F)F)O,"[-0.00121737  0.00453874  0.01054986  0.01070105  0.0052336   0.00012993
 -0.00378813  0.00089826  0.00579758  0.01240812  0.01037639 -0.00181144
  0.00256932  0.00299215  0.00096476  0.00631034  0.00632307  0.01320332
  0.00634923  0.01001331  0.00459752 -0.00111376 -0.00163873  0.00177304]",
CCO[C@H]1C[C@H](C21CCCC2)[NH2+]C,"[-0.00305996 -0.00424101 -0.00383363 -0.00584305 -0.00516866 -0.00393453
 -0.0027891  -0.00526565 -0.00467937 -0.00412279 -0.00431548 -0.00225455
 -0.00276677]",
c1cc(ccc1/C=C/C(=O)c1ccc(cc1)F)O,"[ 0.0127561   0.01078264  0.00555284  0.00946452  0.01027748  0.00661015
  0.00587193  0.00699974  0.00359114  0.00196437  0.00525941  0.00995232
  0.01199327  0.00605692  0.00951899  0.00931318 -0.0011788   0.00181137]",
Cc1cccc(c1)[C@@](C)(C[NH3+])O,"[-0.00260828  0.01057952  0.0236088   0.02215477  0.02303084  0.01170814
  0.01458446 -0.01212298 -0.0063484  -0.00792819 -0.00335433 -0.00193105]",
Cc1c(nc2cc(nn2c1O)[C@H]1CCCCN1C(=O)[C@@H]1CCCO1)C,"[-1.9798242e-03  7.4657751e-03  4.3213377e-03 -2.9198916e-03
  9.5818201e-03  1.1795735e-02  9.8407408e-03 -2.3888762e-03
  1.2234290e-03  6.5424833e-03  1.6364743e-03 -3.9598634e-03
 -4.3104338e-03 -4.9207541e-03 -3.8501241e-03 -4.1257916e-03
  5.7181991e-05  2.9274751e-03 -7.7808189e-04 -5.7082749e-03
 -4.4706799e-03 -3.6641723e-03 -3.5673196e-03 -1.7452103e-03
 -2.3312711e-03]",
Cc1cc(nc([nH+]1)N(C)C)O[C@@H](CCC=C)C[N@@H+]1CCCOCC1,"[-0.00210485  0.00514222  0.01341092  0.00578449 -0.00285992  0.00778322
  0.00416957 -0.00071996 -0.0048724  -0.00305455 -0.00109689 -0.00324699
 -0.0046515  -0.00414476  0.00426984  0.00204673 -0.0044098  -0.0027664
 -0.00450416 -0.00410342 -0.00378285 -0.00285001 -0.00340879 -0.00317765]",
c1ccc(c(c1)[C@@H]1CN(CCO1)C(=O)NCCc1cccc(c1)O)F,"[ 0.00922026  0.00972396  0.00909142  0.00465488  0.00772495  0.01166489
 -0.00600798 -0.00515001 -0.00012434 -0.00410558 -0.00498653 -0.00259978
  0.00374392  0.00035652  0.00468399 -0.00472747 -0.00447405  0.00550424
  0.01585777  0.01329041  0.01208907  0.00652777  0.00867351  0.00228284
 -0.00113017]",
CCC[NH+](CCC)Cc1ccc(o1)C(=O)OC,"[-4.4415011e-03 -5.7309032e-03 -6.9149821e-03 -3.3983802e-03
 -6.7569274e-03 -6.2198378e-03 -4.7169430e-03 -6.8226424e-03
  8.0808178e-03  1.6229922e-02  2.4395104e-02  1.2615755e-02
 -6.3277595e-04  5.7414458e-03  7.1352595e-05 -7.6243270e-04
 -3.4167580e-03]",
CCOc1cccc(c1)C(=O)N1CC[NH+](CC1)[C@@H]1CCC[C@@H]1O,"[-2.3427703e-03 -3.9704177e-03 -1.3965269e-05  6.5118917e-03
  1.5492521e-02  1.4556469e-02  1.6778015e-02  9.9204341e-03
  1.0627083e-02  3.7064315e-03  2.7800095e-05 -1.0005465e-03
 -4.7727791e-03 -4.9841027e-03 -2.6895022e-03 -4.1810428e-03
 -4.0144594e-03 -4.5207432e-03 -5.0617508e-03 -3.8492999e-03
 -4.3703923e-03 -4.4103181e-03 -1.1468194e-03]",
c1c([nH]cn1)C[C@@H](c1nc(nn1CC(F)(F)F)C1CC1)N,"[ 0.01439885  0.00787287  0.00519067  0.01731177 -0.00176232 -0.00627365
 -0.00415014  0.01048581 -0.00414761  0.00768781 -0.00245837  0.00193028
 -0.00547997 -0.00666331 -0.00158609 -0.00217826 -0.00241032 -0.00385708
 -0.00581899 -0.00349565 -0.00080326]",
CC(C)CCC[C@@H]1CN(CCO1)S(=O)(=O)N1CCOCC1,"[-0.00211928 -0.00376955 -0.00233609 -0.00345407 -0.00339916 -0.00364385
 -0.00515214 -0.00355223 -0.00164511 -0.00341846 -0.00299528 -0.00224847
 -0.00404105  0.00029639 -0.00058467 -0.00093932 -0.00349612 -0.00370298
 -0.00230813 -0.00330466 -0.00301731]",
c1ccc(cc1)CNC(=O)C[C@@H]1C(=O)NCC[NH2+]1,"[ 1.6689941e-02  1.5992044e-02  1.5946079e-02  8.0669243e-03
  1.4671344e-02  1.5989183e-02 -6.8114167e-03  5.5459486e-03
  2.4653096e-03  6.9637649e-06 -8.2020564e-03 -7.8811562e-03
  5.5864886e-03 -9.2212122e-04  5.5113169e-03 -5.5380091e-03
 -4.2719203e-03 -5.1783086e-03]",
CCn1cc(s/c/1=N\C(=O)[C@@H]1C(=O)c2ccccc2S(=O)(=O)N1C)C,"[-2.6083451e-03 -4.4921115e-03  1.3030069e-03  1.2199085e-02
  6.0151881e-03 -2.6172791e-03  4.0422813e-03 -2.2417121e-03
  3.2307480e-03 -6.9385691e-04 -5.5366391e-03  3.7123277e-03
 -2.1466364e-04  7.2970595e-03  1.6332433e-02  9.4033824e-03
  8.6819548e-03  1.2061225e-02  6.6531161e-03 -6.3821338e-03
  3.6588867e-04  6.6184009e-05 -1.8112527e-03 -1.7272152e-03
 -1.6373083e-03]",
CCNC(=O)[C@H]1CC(=O)Nc2c1c(=O)[nH]c(n2)N1[C@@H](CCC[C@@H]1C)C,"[-1.8719465e-03 -4.2182570e-03  3.8855432e-03  3.5056637e-03
 -3.5046454e-05 -2.9974710e-03 -5.3321691e-03  3.9883507e-03
 -6.7783357e-04  1.7348755e-03  7.8867050e-03  8.0441199e-03
  6.0754814e-03 -6.3650060e-04  8.7333098e-03  7.6743085e-03
 -3.4076457e-03 -5.2377163e-04 -2.2116401e-03 -4.4483258e-03
 -3.5332623e-03 -4.8846304e-03 -5.9933742e-03 -2.6462183e-03
 -1.8527000e-03]",
